,idx,x,y
0,92,809,582
1,129,935,277
2,163,974,672
3,205,838,234
4,245,927,697
5,283,1095,271
6,330,1035,792
7,368,759,255
8,413,923,683
9,449,1155,265
10,493,1407,814
