397,128
397,128
397,128
397,128
397,128
397,127
396,128
397,128
397,128
397,128
397,128
398,128
397,128
397,128
398,128
397,128
398,128
398,127
397,128
398,128
398,128
398,128
398,128
398,127
398,128
398,128
397,127
398,128
397,128
398,127
397,128
397,128
397,128
397,128
397,128
397,128
397,128
397,128
398,128
397,128
397,129
397,128
397,128
397,128
397,128
397,128
397,128
398,128
397,128
397,129
398,128
398,128
398,128
399,128
398,129
399,128
400,128
400,128
400,128
400,128
400,128
399,128
399,128
399,128
398,128
398,128
396,129
396,129
395,129
394,130
392,130
392,130
390,130
390,131
389,130
389,131
388,131
388,131
388,131
387,132
388,131
387,132
388,131
387,131
387,130
387,129
389,127
389,127
390,125
390,125
391,125
391,125
393,125
393,127
395,128
396,130
397,129
397,130
396,130
397,131
397,130
397,130
400,129
400,129
400,129
402,129
402,130
403,130
404,131
406,130
407,130
408,129
407,128
409,128
411,130
412,130
414,130
417,129
421,129
423,128
424,128
426,128
429,128
430,129
431,129
435,128
440,129
442,129
445,129
447,129
452,129
456,129
458,129
461,129
467,129
471,129
474,129
477,129
481,129
482,130
483,129
484,129
485,129
487,128
487,127
489,127
491,126
491,125
492,125
493,125
494,126
496,126
496,127
496,127
496,127
495,128
493,127
492,126
489,125
488,126
487,125
486,124
482,125
481,124
479,124
478,125
475,125
474,126
473,127
472,126
470,127
470,127
469,127
470,127
469,125
470,126
470,124
470,124
470,124
471,125
469,125
470,125
470,126
470,126
472,127
474,126
475,125
477,126
482,126
485,126
488,126
490,126
494,127
494,126
498,125
501,126
507,127
509,127
512,128
514,127
519,128
522,128
524,129
528,129
532,130
535,129
535,129
536,130
538,129
539,128
540,128
542,127
545,126
547,127
549,126
550,126
553,128
554,127
555,128
557,129
558,130
558,130
558,131
556,130
554,129
552,128
550,129
549,128
544,126
542,127
541,127
538,126
534,127
531,127
530,128
527,127
522,126
520,127
518,126
517,126
514,124
512,124
510,123
508,123
506,124
504,124
503,124
502,125
498,127
496,127
494,127
493,128
488,128
485,128
483,128
481,128
473,127
471,126
465,126
462,125
456,126
453,125
450,125
447,126
438,122
435,122
432,122
429,121
423,122
420,123
418,123
415,123
412,120
409,120
406,120
403,119
399,118
396,118
394,119
391,118
388,118
386,118
385,118
